ticker,open,close,vwap,volume,dollar_volume,pct_change,date
QUBX,22.38,35.02,32.5289,2863168.0,93135705.5552,0.5647899910634497,2025-09-19
AGMH,6.99,10.34,9.7942,207569456.0,2032976765.9552,0.47925608011444915,2025-09-19
OKLL,62.19,91.6,78.0504,3693207.0,288256283.6328,0.4729056118347001,2025-09-19
QMCO,8.7,11.88,11.5112,22217533.0,255750465.8696,0.3655172413793105,2025-09-19
SMU,25.04,34.06,29.7657,5052773.0,150399325.2861,0.3602236421725241,2025-09-19
SMUP,13.05,17.75,16.0213,480296.0,7694966.3048,0.3601532567049808,2025-09-19
SAIH,7.97,10.7955,9.8954,118019.0,1167845.2126,0.35451693851944804,2025-09-19
PONX,38.3,51.51,45.9403,48049.0,2207385.4747,0.3449086161879896,2025-09-19
GDEV,16.0,21.42,19.7623,24011.0,474512.5853,0.3387500000000001,2025-09-19
QPUX,35.57,47.6,44.4455,240549.0,10691320.5795,0.33820635366882207,2025-09-19
