ticker,open,close,vwap,volume,dollar_volume,pct_change,date
BREA,34.29,16.6,25.8987,22160603.0,573930808.9161,-0.5158938466025079,2025-09-19
LNZA,21.38,17.47,18.655,44512.0,830371.3600000001,-0.18288119738072967,2025-09-19
QMMM,94.99,82.84,83.9762,325766.0,27356590.7692,-0.12790820086324867,2025-09-19
VOR,30.71,27.24,27.363,656490.0,17963535.87,-0.1129925105828721,2025-09-19
SEB,3899.0,3500.2,3562.7083,10332.0,36809902.1556,-0.10228263657348043,2025-09-19
DXCM,75.0,67.45,68.9814,20848663.0,1438169961.8681998,-0.10066666666666663,2025-09-19
DUST,13.7,12.37,12.6979,8572946.0,108858411.0134,-0.09708029197080292,2025-09-19
STUB,20.4,18.46,19.2791,14942196.0,288072090.9036,-0.09509803921568617,2025-09-19
CARL,15.58,14.15,14.2581,1077113.0,15357584.865300002,-0.09178433889602051,2025-09-19
SILC,18.5535,16.92,17.5291,28750.0,503961.625,-0.08804268736357011,2025-09-19
