ticker,open,close,vwap,volume,dollar_volume,pct_change,date
CJET,0.1831,0.2909,0.2374,1700329756.0,403658284.0744,0.5887493173129436,2025-09-19
YAAS,0.0894,0.087,0.1102,650356881.0,71669328.2862,-0.026845637583892613,2025-09-19
ADAP,0.2106,0.1444,0.1794,516546145.0,92668378.413,-0.31433998100664773,2025-09-19
NVDA,175.77,176.67,176.4855,237182143.0,41859209098.4265,0.005120327700972733,2025-09-19
OPEN,10.04,9.57,9.681,229829743.0,2224981741.983,-0.04681274900398395,2025-09-19
INTC,30.38,29.58,29.8682,225702854.0,6741337983.8428,-0.026333113890717602,2025-09-19
AGMH,6.99,10.34,9.7942,207569456.0,2032976765.9552,0.47925608011444915,2025-09-19
HOOD,121.7,124.78,124.4699,202388423.0,25191266771.9677,0.02530813475760064,2025-09-19
SNAP,8.47,8.16,8.2151,194706918.0,1599536802.0618,-0.0365997638724912,2025-09-19
WBD,18.7,19.33,19.1556,168256967.0,3223063157.0652,0.03368983957219246,2025-09-19
