ticker,open,close,vwap,volume,dollar_volume,pct_change,date
SPY,662.33,663.7,662.6426,97945620.0,64902940295.412,0.0020684553017378112,2025-09-19
APP,628.48,649.59,646.9279,73131599.0,47310871764.712105,0.03358897657841143,2025-09-19
NVDA,175.77,176.67,176.4855,237182143.0,41859209098.4265,0.005120327700972733,2025-09-19
AAPL,241.225,245.5,244.4678,163741314.0,40029478802.6892,0.017722043735102107,2025-09-19
TSLA,421.82,426.07,424.9175,93131034.0,39573006139.695,0.010075387606087905,2025-09-19
QQQ,597.33,599.35,598.0257,58196109.0,34802768822.001305,0.003381715299750526,2025-09-19
MSFT,510.56,517.93,515.2262,52474093.0,27036027534.836597,0.014435130053274733,2025-09-19
HOOD,121.7,124.78,124.4699,202388423.0,25191266771.9677,0.02530813475760064,2025-09-19
AMZN,232.37,231.48,231.9566,97943172.0,22718565170.3352,-0.0038300985497267924,2025-09-19
PLTR,177.07,182.39,181.9711,109129929.0,19858493223.0519,0.030044615123962237,2025-09-19
META,786.42,778.38,778.0326,23696824.0,18436901588.4624,-0.010223544670786558,2025-09-19
AVGO,344.65,344.94,344.1636,41240071.0,14193331299.615599,0.0008414333381692165,2025-09-19
GOOGL,253.25,254.72,254.2857,55571424.0,14131018451.8368,0.00580454096742349,2025-09-19
IWM,245.57,242.98,243.6373,56092037.0,13666112446.180101,-0.010546890906869746,2025-09-19
ORCL,299.0,308.66,305.7279,40776201.0,12466422301.7079,0.03230769230769239,2025-09-19
GOOG,253.4,255.24,254.7622,41616844.0,10602398734.4968,0.007261247040252578,2025-09-19
AMD,157.38,157.39,157.4574,55448076.0,8730709881.9624,6.354047528269733e-05,2025-09-19
OKLO,108.7,135.23,126.4044,63583999.0,8037297243.1956,0.24406623735050587,2025-09-19
JPM,313.6,314.78,313.9993,23568551.0,7400508516.0143,0.0037627551020406567,2025-09-19
INTC,30.38,29.58,29.8682,225702854.0,6741337983.8428,-0.026333113890717602,2025-09-19
EME,627.37,632.02,631.6416,10505243.0,6635548496.9088,0.007411894097581933,2025-09-19
MSTR,347.45,344.75,343.5791,17699698.0,6081246309.111799,-0.007770902288098975,2025-09-19
MU,162.75,162.73,162.3105,37309873.0,6055784141.5665,-0.00012288786482341155,2025-09-19
NFLX,1218.62,1226.97,1222.8967,4947590.0,6050391483.953,0.006852012932661648,2025-09-19
CRWV,122.05,124.86,125.4559,47567714.0,5967650370.8126,0.023023351085620668,2025-09-19
LLY,765.0,751.99,754.2166,7349452.0,5543078699.3032,-0.017006535947712405,2025-09-19
ALAB,245.31,245.2,243.7415,22438641.0,5469228015.3015,-0.0004484122131181511,2025-09-19
BAC,52.15,52.25,52.2896,98970669.0,5175136693.7424,0.0019175455417066428,2025-09-19
GLD,336.51,339.18,338.229,14982567.0,5067538653.842999,0.007934385308014668,2025-09-19
TSM,266.37,264.87,264.7966,17640249.0,4671077958.3534,-0.005631264782070053,2025-09-19
V,340.45,341.61,341.3182,13674340.0,4667301114.988,0.0034072551035395065,2025-09-19
UNH,336.5,336.69,337.4168,13656837.0,4608046238.6616,0.0005646359583952385,2025-09-19
COIN,342.76,342.46,342.5575,13272061.0,4546444036.0075,-0.0008752479869296632,2025-09-19
JNJ,174.69,176.19,176.0665,25620954.0,4510991697.441,0.00858663918942126,2025-09-19
COST,955.0,951.16,951.2772,4606020.0,4381601808.744,-0.004020942408376997,2025-09-19
XOM,113.9,112.82,113.0252,38746517.0,4379332833.2284,-0.00948200175592636,2025-09-19
BMNR,60.0,61.29,61.2489,70773114.0,4334775382.0746,0.021499999999999984,2025-09-19
TQQQ,101.88,102.98,102.192,42182694.0,4310733865.248,0.010797016097369539,2025-09-19
IVV,665.48,666.87,666.3613,6414881.0,4274628442.5053,0.0020887179178938303,2025-09-19
MA,588.62,584.16,584.3006,6745326.0,3941298028.9956,-0.007577044612823275,2025-09-19
UBER,95.0,98.51,97.8671,38734980.0,3790880161.1579995,0.03694736842105269,2025-09-19
VOO,610.62,611.78,610.8218,6065655.0,3705034305.2790003,0.0018997084930070555,2025-09-19
CPNG,33.5,32.86,32.9102,111561852.0,3671522861.6904,-0.019104477611940316,2025-09-19
BRK.B,491.87,492.85,492.2972,7356280.0,3621476046.416,0.0019923963648932,2025-09-19
AMAT,190.815,190.1,190.1785,18903501.0,3595039464.9285,-0.0037470848727825558,2025-09-19
WMT,103.81,102.33,102.6132,34791573.0,3570074638.5636,-0.014256815335709508,2025-09-19
CRWD,499.0,502.55,501.7528,7092821.0,3558842796.6488,0.007114228456913851,2025-09-19
IONQ,65.98,70.41,69.7193,50959400.0,3552853696.42,0.06714155804789318,2025-09-19
RGTI,24.78,28.52,27.4734,127847874.0,3512415781.5516,0.15092816787732036,2025-09-19
NEM,78.88,81.72,81.565,42540157.0,3469787905.705,0.03600405679513189,2025-09-19
WELL,166.77,165.19,165.4646,20205363.0,3343272306.6498,-0.009474126041854125,2025-09-19
CSCO,68.92,68.21,68.1756,47822501.0,3260327699.1756,-0.010301799187463842,2025-09-19
QCOM,169.17,166.85,167.2632,19444430.0,3252337583.9760003,-0.01371401548737952,2025-09-19
WBD,18.7,19.33,19.1556,168256967.0,3223063157.0652,0.03368983957219246,2025-09-19
ABBV,222.415,222.47,222.4965,14415107.0,3207310854.6255,0.0002472854798462641,2025-09-19
WFC,83.83,84.64,84.4729,36482387.0,3081773028.8122997,0.009662412024334991,2025-09-19
LRCX,126.355,126.92,126.8288,24271855.0,3078370243.4240003,0.004471528629654526,2025-09-19
GS,804.09,805.0,804.9533,3789814.0,3050623285.6862,0.0011317141116043827,2025-09-19
RDDT,270.5,264.48,260.9793,11586079.0,3023726787.1647005,-0.02225508317929753,2025-09-19
LQD,111.74,111.74,111.6756,26845364.0,2997972131.9184003,0.0,2025-09-19
BABA,164.69,162.81,164.2698,18183217.0,2986953419.9466,-0.011415386483696615,2025-09-19
SNPS,479.0,495.5,488.2143,6099828.0,2978023257.1404,0.03444676409185804,2025-09-19
AXP,342.53,341.12,341.6044,8632044.0,2948744211.3936,-0.004116427758152478,2025-09-19
TXN,182.59,179.37,179.9095,16206660.0,2915732097.27,-0.01763513883564269,2025-09-19
INTU,692.855,687.92,689.0352,4226681.0,2912331988.1712003,-0.007122702441347842,2025-09-19
CRM,246.02,247.09,246.2537,11813947.0,2909228160.3539,0.00434923989919516,2025-09-19
GE,297.79,301.14,299.9348,9652627.0,2895158748.7195997,0.011249538265220342,2025-09-19
TLT,89.07,89.02,88.9791,32509221.0,2892641226.2811003,-0.0005613562366677575,2025-09-19
KTOS,81.52,80.77,80.8012,35427660.0,2862597441.192,-0.00920019627085378,2025-09-19
DASH,268.58,265.29,265.7085,10684519.0,2838967516.7115,-0.012249609055030024,2025-09-19
ADBE,368.94,365.9,365.7417,7693030.0,2813661870.351,-0.00823982219331062,2025-09-19
HD,417.37,415.69,416.3718,6718416.0,2797358963.0688,-0.004025205453195023,2025-09-19
NTNX,78.13,77.09,77.2552,36193775.0,2796157326.38,-0.013311148086522362,2025-09-19
ACN,239.52,239.7,238.9155,11522615.0,2752931324.0325003,0.0007515030060119338,2025-09-19
MP,73.0,73.22,73.2918,37395074.0,2740752284.5931997,0.003013698630136971,2025-09-19
DIA,462.72,462.94,462.3601,5871474.0,2714735305.7874,0.0004754495159058835,2025-09-19
NOW,951.85,961.15,960.5793,2807205.0,2696543013.8565,0.009770447024215952,2025-09-19
PG,157.61,156.04,156.4346,17224774.0,2694550630.7804,-0.009961296872026022,2025-09-19
ANET,148.9,149.61,149.1025,17810916.0,2655652102.89,0.004768300873069227,2025-09-19
DIS,114.6,113.76,113.3687,23398424.0,2652648910.9288,-0.007329842931937079,2025-09-19
SMH,316.4,315.71,315.1186,8381595.0,2641196482.1670003,-0.0021807838179519526,2025-09-19
QBTS,23.32,26.88,25.8376,102188600.0,2640308171.3599997,0.1526586620926243,2025-09-19
IBM,266.05,266.4,266.3119,9858112.0,2625332537.1327996,0.0013155421913172932,2025-09-19
CVX,158.995,156.21,156.5554,16733988.0,2619796184.9351997,-0.017516274096669684,2025-09-19
GDX,68.92,72.36,71.6678,36428972.0,2610784279.5016,0.04991294254207774,2025-09-19
HYG,81.25,81.26,81.2203,32042877.0,2602532082.8030996,0.00012307692307698604,2025-09-19
C,102.535,102.68,102.6379,24745660.0,2539842576.514,0.0014141512654216632,2025-09-19
GEV,611.69,624.17,617.0826,4107343.0,2534569897.5318,0.02040249145809136,2025-09-19
XLF,54.26,54.25,54.1355,46731380.0,2529826621.9900002,-0.00018429782528562498,2025-09-19
AMGN,278.64,285.41,283.9265,8735065.0,2480116432.7225,0.024296583405110678,2025-09-19
TRU,92.47,89.9,90.155,26552650.0,2393854160.75,-0.027792797664107204,2025-09-19
MS,159.55,159.91,159.887,14902003.0,2382636553.661,0.002256345973049108,2025-09-19
NKE,72.01,70.89,71.019,33415575.0,2373140720.925,-0.015553395361755373,2025-09-19
CAT,470.26,466.54,466.838,5069345.0,2366562881.11,-0.007910517586016184,2025-09-19
MRVL,74.745,74.26,74.3205,31788103.0,2362507709.0115,-0.006488728343032971,2025-09-19
TTD,43.87,44.47,44.2492,52978352.0,2344249693.3184,0.013676772281741542,2025-09-19
B,30.16,32.99,32.6816,71168505.0,2325900613.0080004,0.09383289124668441,2025-09-19
CRCL,145.05,144.14,143.6333,16115641.0,2314742698.4452996,-0.006273698724577904,2025-09-19
HON,211.1,209.37,209.3222,11006138.0,2303829019.6636,-0.00819516816674557,2025-09-19
SMR,39.2,46.77,44.1307,52070386.0,2297902583.4502,0.19311224489795917,2025-09-19
BKNG,5447.96,5444.44,5441.835,420593.0,2288797708.155,-0.0006461134075875074,2025-09-19
PDD,134.09,129.47,130.3389,17408315.0,2268980627.9535,-0.0344544708777687,2025-09-19
RBLX,136.295,135.18,135.3904,16750946.0,2267917279.3184,-0.008180784328111675,2025-09-19
BA,217.73,215.65,215.2,10513703.0,2262548885.6,-0.009553116244890388,2025-09-19
ASML,926.07,932.15,932.1494,2410535.0,2246978753.929,0.006565378427116662,2025-09-19
OPEN,10.04,9.57,9.681,229829743.0,2224981741.983,-0.04681274900398395,2025-09-19
QUBT,18.19,23.27,22.3923,98556687.0,2206910902.3101,0.279274326553051,2025-09-19
SOFI,28.265,29.51,29.2262,74760864.0,2184975963.4368,0.04404740845568728,2025-09-19
LEN,126.5,127.32,127.7923,17041322.0,2177749733.4206,0.006482213438735124,2025-09-19
XLK,277.23,278.92,277.7298,7835381.0,2176118798.0538,0.006096021354110297,2025-09-19
IBIT,66.01,65.37,65.7545,32989380.0,2169200187.2099996,-0.009695500681714899,2025-09-19
SOXL,33.56,33.02,32.8034,66106137.0,2168506054.4658003,-0.016090584028605456,2025-09-19
TSLL,19.26,19.63,19.5052,110268630.0,2150811681.876,0.019210799584631226,2025-09-19
CRDO,172.84,169.56,169.928,12625081.0,2145354764.168,-0.018977088636889614,2025-09-19
RSP,190.0,189.21,189.2034,11333570.0,2144349978.1379998,-0.004157894736842064,2025-09-19
HIMS,56.23,57.82,58.0294,36251598.0,2103658480.9812,0.028276720611773137,2025-09-19
SPGI,507.8,507.16,507.1882,4147613.0,2103620371.7666,-0.0012603387160299061,2025-09-19
COR,291.55,290.02,290.3758,7226422.0,2098378069.3876002,-0.005247813411078818,2025-09-19
MRK,81.805,81.51,81.503,25627814.0,2088743724.442,-0.003606136544221034,2025-09-19
CVNA,381.535,391.89,388.0116,5380811.0,2087817085.4076,0.027140367200912,2025-09-19
PFE,24.25,24.03,24.0091,86577634.0,2078651072.4694,-0.009072164948453561,2025-09-19
KO,66.49,66.43,66.4386,31192851.0,2072409350.4485998,-0.0009023913370429849,2025-09-19
AMRZ,51.91,50.4,50.4909,40632452.0,2051569070.6868002,-0.02908880755153146,2025-09-19
TMO,483.29,479.58,481.7414,4244050.0,2044534588.67,-0.007676550311407304,2025-09-19
EFA,93.04,93.0,92.962,21889338.0,2034876639.1560001,-0.00042992261392955987,2025-09-19
AGMH,6.99,10.34,9.7942,207569456.0,2032976765.9552,0.47925608011444915,2025-09-19
EEM,53.07,53.01,53.0129,37385059.0,1981890394.2611,-0.00113058224985872,2025-09-19
ARKK,84.66,84.96,84.8021,23133700.0,1961786340.77,0.0035435861091424187,2025-09-19
APH,122.47,123.94,123.629,15836675.0,1957872293.575,0.012002939495386616,2025-09-19
FDX,228.3,231.75,231.7266,8388380.0,1943810776.908,0.015111695137976297,2025-09-19
VST,211.43,211.28,210.562,9188465.0,1934741567.3300002,-0.0007094546658468792,2025-09-19
FTNT,82.46,84.21,84.044,22847024.0,1920155285.056,0.021222410865874366,2025-09-19
UNP,221.66,220.61,220.5897,8632137.0,1904160511.1889,-0.004736984570964464,2025-09-19
CDNS,367.26,373.35,371.4887,5005069.0,1859326576.2203,0.016582257801012995,2025-09-19
PANW,206.405,208.19,207.7591,8925326.0,1854317696.9666,0.008648046316707427,2025-09-19
NBIS,94.14,99.31,96.9888,18649279.0,1808771191.0751998,0.054918206925855126,2025-09-19
T,29.26,29.01,29.0504,62155663.0,1805646872.4152,-0.008544087491455911,2025-09-19
LIN,477.505,479.01,478.5499,3742089.0,1790776316.7410998,0.0031517994575972932,2025-09-19
SNOW,223.31,230.48,228.9317,7774901.0,1779921303.2617002,0.03210783216156906,2025-09-19
TMUS,238.825,238.17,238.5661,7442166.0,1775448518.1726,-0.0027425939495446506,2025-09-19
PEP,141.46,141.76,141.5702,12365531.0,1750590696.7762,0.002120740845468563,2025-09-19
HCA,401.48,402.3,402.149,4308470.0,1732646902.03,0.0020424429610441195,2025-09-19
MKTX,180.3,178.32,178.3698,9702909.0,1730705937.7482,-0.010981697171381132,2025-09-19
MCD,301.7,302.38,302.5066,5696853.0,1723335631.7298,0.002253894597282091,2025-09-19
BLK,1138.77,1142.85,1141.1367,1505458.0,1717933374.1086001,0.0035828130351167726,2025-09-19
PM,162.42,162.95,162.862,10489017.0,1708262286.654,0.0032631449328900455,2025-09-19
CMCSA,31.64,31.59,31.5978,53789574.0,1699632201.3372,-0.0015802781289507178,2025-09-19
KLAC,1051.9,1044.81,1044.9049,1586978.0,1658241088.3922,-0.006740184428177721,2025-09-19
ISRG,439.46,438.72,438.2527,3780685.0,1656895409.0995,-0.0016838847676693039,2025-09-19
BSX,98.9,97.83,97.7739,16834176.0,1645943040.8064,-0.010819009100101187,2025-09-19
SNAP,8.47,8.16,8.2151,194706918.0,1599536802.0618,-0.0365997638724912,2025-09-19
HL,10.84,10.96,10.9547,145814144.0,1597350203.2768002,0.011070110701107102,2025-09-19
ENPH,38.42,38.42,38.4294,41411881.0,1591433739.7014,0.0,2025-09-19
SQQQ,15.73,15.55,15.6795,100438692.0,1574828471.214,-0.011443102352193243,2025-09-19
ABT,134.7,136.04,135.7989,11547416.0,1568126390.6424,0.009948032665181912,2025-09-19
TEM,88.43,88.24,88.5534,17676495.0,1565313732.333,-0.0021485921067512376,2025-09-19
XLV,137.82,137.29,137.4677,11281215.0,1550802679.2555,-0.003845595704542165,2025-09-19
SOXX,267.295,265.86,265.491,5839134.0,1550237524.794,-0.0053686002356946524,2025-09-19
UPS,85.11,84.06,84.42,18120211.0,1529708212.6200001,-0.012336975678533629,2025-09-19
