code,name,theme,brief,tags,yahooSymbol
1301,"Kyokuyo Co., Ltd.",-,-,-,1301.T
1332,Nissui Corporation,-,-,-,1332.T
1333,Maruha Nichiro Corporation,-,-,-,1333.T
1375,"Yukiguni Maitake Co., Ltd.",itサービス,ソフト/クラウド,it,1375.T
1376,"Kaneko Seeds Co., Ltd.",-,-,-,1376.T
1377,Sakata Seed Corporation,-,-,-,1377.T
1379,Hokuto Corporation,-,-,-,1379.T
1380,Akikawa Foods & Farms Co. Ltd.,食品,加工/飲料,食品,1380.T
1381,Axyz Co. Ltd.,-,-,-,1381.T
1382,Hob Company Ltd.,-,-,-,1382.T
1383,Berg Earth Co. Ltd.,-,-,-,1383.T
1384,"Hokuryo Co., Ltd.",-,-,-,1384.T
1401,MBS Inc.,-,-,-,1401.T
1407,West Holdings Corporation,-,-,-,1407.T
1414,"Sho-Bond Holdings Co., Ltd.",-,-,-,1414.T
1417,Mirait One Corporation,itサービス,ソフト/クラウド,it,1417.T
1418,"Interlife Holdings Co., Ltd.",保険,損保/生保,-|保険,1418.T
1419,"Tama Home Co., Ltd.",-,-,-,1419.T
1420,Sanyo Homes Corporation,不動産,不動産/開発,-|不動産,1420.T
1429,"Nippon Aqua Co., Ltd.",-,-,-,1429.T
1430,First Corp Inc.,-,-,-,1430.T
1431,"Lib Work Co., Ltd.",-,-,-,1431.T
1433,Besterra Co. Ltd.,-,-,-,1433.T
1434,Jesco Holdings Inc.,-,-,-,1434.T
1435,Robot Home Inc.,機械/産業,FA/自動化,-|FA|ロボット,1435.T
1436,GreenEnergy & Company Inc.,エネルギー,原油/ガス/電力,エネルギー,1436.T
1438,"Gifu Landscape Architect Co., Ltd.",itサービス,ソフト/クラウド,it,1438.T
1443,"Giken Holdings Co., Ltd.",-,-,-,1443.T
1444,Nissou Co. Ltd.,-,-,-,1444.T
1445,"Hikari Holdings Co., Ltd.",-,-,-,1445.T
1446,Candeal Co. Ltd.,-,-,-,1446.T
1447,Saaf Holdings Co. Ltd.,-,-,-,1447.T
1449,"Fuji Japan Co., Ltd.",-,-,-,1449.T
1450,"Tanaken Co., Ltd.",航空,運輸/エアライン,-,1450.T
1491,"Chugai Mining Co., Ltd.",鉱業,資源/鉱山,-|資源|鉱業,1491.T
1514,Sumiseki Holdings Inc.,-,-,-,1514.T
1515,"Nittetsu Mining Co., Ltd.",itサービス,ソフト/クラウド,it,1515.T
1518,"Mitsui Matsushima Holdings Co., Ltd.",itサービス,ソフト/クラウド,it,1518.T
1605,Inpex Corporation,エネルギー,原油/ガス/電力,エネルギー|ガス|石油,1605.T
1662,"Japan Petroleum Exploration Co., Ltd.",エネルギー,原油/ガス/電力,エネルギー,1662.T
1663,K&O Energy Group Inc.,エネルギー,原油/ガス/電力,エネルギー|ガス,1663.T
1711,"SDS Holdings Co., Ltd.",-,-,-,1711.T
1712,"Daiseki Eco. Solution Co., Ltd.",-,-,-,1712.T
1716,"Dai-Ichi Cutter Kogyo Co., Ltd.",-,-,-,1716.T
1717,Meiho Facility Works Ltd.,itサービス,ソフト/クラウド,it,1717.T
1718,"Mikikogyo Co., Ltd.",-,-,-,1718.T
1719,Hazama Ando Corporation,-,-,-,1719.T
1720,"Tokyu Construction Co., Ltd.",建設,ゼネコン/施工,-,1720.T
1721,Comsys Holdings Corporation,-,-,-,1721.T
1723,"Nihon Dengi Co., Ltd.",-,-,-,1723.T
1724,Synclayer Inc.,-,-,-,1724.T
1726,BR Holdings Corp,-,-,-,1726.T
1736,Otec Corp,-,-,-,1736.T
1743,Koatsu Kogyo Co. Ltd.,-,-,-,1743.T
1757,"Souken Ace Co., Ltd.",-,-,-,1757.T
1758,"Taiyo Kisokogyo Co., Ltd.",-,-,-,1758.T
1762,"Takamatsu Construction Group Co., Ltd.",建設,ゼネコン/施工,-,1762.T
1764,Kudo Corp,-,-,-,1764.T
1766,Token Corporation,-,-,-,1766.T
1768,Sonec Corporation,電機,エレクトロニクス,電機,1768.T
1770,"Fujita Engineering Co., Ltd.",itサービス,ソフト/クラウド,it,1770.T
